Entity,Code,Year,4_1_civlibs_score_fh
Hungary,HUN,2005,56
Hungary,HUN,2006,55
Hungary,HUN,2007,55
Hungary,HUN,2008,55
Hungary,HUN,2009,54
Hungary,HUN,2010,53
Hungary,HUN,2011,52
Hungary,HUN,2012,52
Hungary,HUN,2013,52
Hungary,HUN,2014,50
Hungary,HUN,2015,47
Hungary,HUN,2016,47
Hungary,HUN,2017,44
Hungary,HUN,2018,43
Hungary,HUN,2019,43
Hungary,HUN,2020,43
Hungary,HUN,2021,43
Ireland,IRL,2005,58
Ireland,IRL,2006,58
Ireland,IRL,2007,58
Ireland,IRL,2008,58
Ireland,IRL,2009,58
Ireland,IRL,2010,58
Ireland,IRL,2011,58
Ireland,IRL,2012,58
Ireland,IRL,2013,58
Ireland,IRL,2014,58
Ireland,IRL,2015,57
Ireland,IRL,2016,57
Ireland,IRL,2017,57
Ireland,IRL,2018,58
Ireland,IRL,2019,58
Ireland,IRL,2020,58
Ireland,IRL,2021,58
Italy,ITA,2005,53
Italy,ITA,2006,54
Italy,ITA,2007,54
Italy,ITA,2008,52
Italy,ITA,2009,52
Italy,ITA,2010,52
Italy,ITA,2011,53
Italy,ITA,2012,53
Italy,ITA,2013,53
Italy,ITA,2014,53
Italy,ITA,2015,53
Italy,ITA,2016,53
Italy,ITA,2017,53
Italy,ITA,2018,53
Italy,ITA,2019,53
Italy,ITA,2020,54
Italy,ITA,2021,54
Latvia,LVA,2005,53
Latvia,LVA,2006,53
Latvia,LVA,2007,53
Latvia,LVA,2008,53
Latvia,LVA,2009,53
Latvia,LVA,2010,52
Latvia,LVA,2011,51
Latvia,LVA,2012,51
Latvia,LVA,2013,51
Latvia,LVA,2014,51
Latvia,LVA,2015,51
Latvia,LVA,2016,51
Latvia,LVA,2017,52
Latvia,LVA,2018,52
Latvia,LVA,2019,52
Latvia,LVA,2020,52
Latvia,LVA,2021,51
Lithuania,LTU,2005,54
Lithuania,LTU,2006,54
Lithuania,LTU,2007,54
Lithuania,LTU,2008,54
Lithuania,LTU,2009,53
Lithuania,LTU,2010,53
Lithuania,LTU,2011,53
Lithuania,LTU,2012,53
Lithuania,LTU,2013,53
Lithuania,LTU,2014,53
Lithuania,LTU,2015,53
Lithuania,LTU,2016,53
Lithuania,LTU,2017,53
Lithuania,LTU,2018,53
Lithuania,LTU,2019,53
Lithuania,LTU,2020,52
Lithuania,LTU,2021,51
Luxembourg,LUX,2005,60
Luxembourg,LUX,2006,60
Luxembourg,LUX,2007,60
Luxembourg,LUX,2008,60
Luxembourg,LUX,2009,60
Luxembourg,LUX,2010,60
Luxembourg,LUX,2011,60
Luxembourg,LUX,2012,60
Luxembourg,LUX,2013,60
Luxembourg,LUX,2014,60
Luxembourg,LUX,2015,60
Luxembourg,LUX,2016,60
Luxembourg,LUX,2017,60
Luxembourg,LUX,2018,60
Luxembourg,LUX,2019,60
Luxembourg,LUX,2020,59
Luxembourg,LUX,2021,59
Malta,MLT,2005,59
Malta,MLT,2006,59
Malta,MLT,2007,58
Malta,MLT,2008,59
Malta,MLT,2009,58
Malta,MLT,2010,58
Malta,MLT,2011,58
Malta,MLT,2012,58
Malta,MLT,2013,58
Malta,MLT,2014,58
Malta,MLT,2015,57
Malta,MLT,2016,57
Malta,MLT,2017,56
Malta,MLT,2018,56
Malta,MLT,2019,55
Malta,MLT,2020,55
Malta,MLT,2021,54
Netherlands,NLD,2005,59
Netherlands,NLD,2006,59
Netherlands,NLD,2007,59
Netherlands,NLD,2008,59
Netherlands,NLD,2009,59
Netherlands,NLD,2010,58
Netherlands,NLD,2011,59
Netherlands,NLD,2012,59
Netherlands,NLD,2013,59
Netherlands,NLD,2014,59
Netherlands,NLD,2015,59
Netherlands,NLD,2016,59
Netherlands,NLD,2017,59
Netherlands,NLD,2018,59
Netherlands,NLD,2019,59
Netherlands,NLD,2020,58
Netherlands,NLD,2021,58
Poland,POL,2005,54
Poland,POL,2006,53
Poland,POL,2007,55
Poland,POL,2008,55
Poland,POL,2009,55
Poland,POL,2010,55
Poland,POL,2011,55
Poland,POL,2012,55
Poland,POL,2013,55
Poland,POL,2014,55
Poland,POL,2015,55
Poland,POL,2016,52
Poland,POL,2017,49
Poland,POL,2018,49
Poland,POL,2019,49
Poland,POL,2020,48
Poland,POL,2021,47
Portugal,PRT,2005,57
Portugal,PRT,2006,57
Portugal,PRT,2007,58
Portugal,PRT,2008,58
Portugal,PRT,2009,58
Portugal,PRT,2010,58
Portugal,PRT,2011,58
Portugal,PRT,2012,58
Portugal,PRT,2013,58
Portugal,PRT,2014,58
Portugal,PRT,2015,58
Portugal,PRT,2016,58
Portugal,PRT,2017,58
Portugal,PRT,2018,57
Portugal,PRT,2019,57
Portugal,PRT,2020,57
Portugal,PRT,2021,56
Romania,ROU,2005,45
Romania,ROU,2006,49
Romania,ROU,2007,49
Romania,ROU,2008,49
Romania,ROU,2009,49
Romania,ROU,2010,49
Romania,ROU,2011,49
Romania,ROU,2012,49
Romania,ROU,2013,49
Romania,ROU,2014,49
Romania,ROU,2015,49
Romania,ROU,2016,49
Romania,ROU,2017,49
Romania,ROU,2018,47
Romania,ROU,2019,48
Romania,ROU,2020,48
Romania,ROU,2021,48
Slovakia,SVK,2005,54
Slovakia,SVK,2006,54
Slovakia,SVK,2007,54
Slovakia,SVK,2008,54
Slovakia,SVK,2009,53
Slovakia,SVK,2010,53
Slovakia,SVK,2011,55
Slovakia,SVK,2012,55
Slovakia,SVK,2013,54
Slovakia,SVK,2014,53
Slovakia,SVK,2015,53
Slovakia,SVK,2016,53
Slovakia,SVK,2017,53
Slovakia,SVK,2018,52
Slovakia,SVK,2019,52
Slovakia,SVK,2020,53
Slovakia,SVK,2021,53
Slovenia,SVN,2005,54
Slovenia,SVN,2006,53
Slovenia,SVN,2007,53
Slovenia,SVN,2008,53
Slovenia,SVN,2009,53
Slovenia,SVN,2010,53
Slovenia,SVN,2011,53
Slovenia,SVN,2012,53
Slovenia,SVN,2013,53
Slovenia,SVN,2014,53
Slovenia,SVN,2015,53
Slovenia,SVN,2016,53
Slovenia,SVN,2017,54
Slovenia,SVN,2018,55
Slovenia,SVN,2019,55
Slovenia,SVN,2020,56
Slovenia,SVN,2021,52
Spain,ESP,2005,57
Spain,ESP,2006,57
Spain,ESP,2007,57
Spain,ESP,2008,57
Spain,ESP,2009,57
Spain,ESP,2010,57
Spain,ESP,2011,57
Spain,ESP,2012,57
Spain,ESP,2013,57
Spain,ESP,2014,57
Spain,ESP,2015,56
Spain,ESP,2016,56
Spain,ESP,2017,56
Spain,ESP,2018,55
Spain,ESP,2019,54
Spain,ESP,2020,53
Spain,ESP,2021,53
Sweden,SWE,2005,60
Sweden,SWE,2006,60
Sweden,SWE,2007,60
Sweden,SWE,2008,60
Sweden,SWE,2009,60
Sweden,SWE,2010,60
Sweden,SWE,2011,60
Sweden,SWE,2012,60
Sweden,SWE,2013,59
Sweden,SWE,2014,59
Sweden,SWE,2015,60
Sweden,SWE,2016,60
Sweden,SWE,2017,60
Sweden,SWE,2018,60
Sweden,SWE,2019,60
Sweden,SWE,2020,60
Sweden,SWE,2021,60
United Kingdom,GBR,2005,57
United Kingdom,GBR,2006,58
United Kingdom,GBR,2007,57
United Kingdom,GBR,2008,57
United Kingdom,GBR,2009,56
United Kingdom,GBR,2010,57
United Kingdom,GBR,2011,56
United Kingdom,GBR,2012,57
United Kingdom,GBR,2013,57
United Kingdom,GBR,2014,57
United Kingdom,GBR,2015,55
United Kingdom,GBR,2016,55
United Kingdom,GBR,2017,54
United Kingdom,GBR,2018,54
United Kingdom,GBR,2019,55
United Kingdom,GBR,2020,54
United Kingdom,GBR,2021,54
