Entity,Code,Year,3_1_Research_frac_GDP
Armenia,ARM,1997,0.18692000210285187
Armenia,ARM,1998,0.22600999474525452
Armenia,ARM,1999,0.21400000154972076
Armenia,ARM,2000,0.19106000661849976
Armenia,ARM,2001,0.27987000346183777
Armenia,ARM,2002,0.25255000591278076
Armenia,ARM,2003,0.3210900127887726
Armenia,ARM,2004,0.25659000873565674
Armenia,ARM,2005,0.2576099932193756
Armenia,ARM,2006,0.24056999385356903
Armenia,ARM,2007,0.2110700011253357
Armenia,ARM,2008,0.2243800014257431
Armenia,ARM,2009,0.29093000292778015
Armenia,ARM,2010,0.24139000475406647
Armenia,ARM,2011,0.27013999223709106
Armenia,ARM,2012,0.2385299950838089
Armenia,ARM,2013,0.2221599966287613
Armenia,ARM,2014,0.24151000380516052
Armenia,ARM,2015,0.25001999735832214
Armenia,ARM,2016,0.23305000364780426
Armenia,ARM,2017,0.22788000106811523
Armenia,ARM,2018,0.18875999748706818
Azerbaijan,AZE,1996,0.2353300005197525
Azerbaijan,AZE,1997,0.3695000112056732
Azerbaijan,AZE,1998,0.42124998569488525
Azerbaijan,AZE,1999,0.39289000630378723
Azerbaijan,AZE,2000,0.335999995470047
Azerbaijan,AZE,2001,0.34000998735427856
Azerbaijan,AZE,2002,0.3015500009059906
Azerbaijan,AZE,2003,0.32495999336242676
Azerbaijan,AZE,2004,0.2983100116252899
Azerbaijan,AZE,2005,0.21994000673294067
Azerbaijan,AZE,2006,0.1716500073671341
Azerbaijan,AZE,2007,0.17005999386310577
Azerbaijan,AZE,2008,0.16553999483585358
Azerbaijan,AZE,2009,0.2497600018978119
Azerbaijan,AZE,2010,0.21848000586032867
Azerbaijan,AZE,2011,0.21084000170230865
Azerbaijan,AZE,2012,0.2142699956893921
Azerbaijan,AZE,2013,0.20969000458717346
Azerbaijan,AZE,2014,0.2097799926996231
Azerbaijan,AZE,2015,0.22232000529766083
Azerbaijan,AZE,2016,0.20636999607086182
Azerbaijan,AZE,2017,0.1846799999475479
Azerbaijan,AZE,2018,0.1841599941253662
