Entity,Code,Year,3_1_Research_frac_GDP
Bahrain,BHR,2014,0.10115999728441238
Brunei,BRN,2002,0.01592000015079975
Brunei,BRN,2003,0.01841999962925911
Brunei,BRN,2004,0.03700999915599823
Brunei,BRN,2018,0.2776300013065338
Cambodia,KHM,2002,0.049800001084804535
Cambodia,KHM,2015,0.11823000013828278
China,CHN,1996,0.5632399916648865
China,CHN,1997,0.638729989528656
China,CHN,1998,0.6468899846076965
China,CHN,1999,0.7496299743652344
China,CHN,2000,0.8931599855422974
China,CHN,2001,0.9403300285339355
China,CHN,2002,1.057860016822815
China,CHN,2003,1.1203700304031372
China,CHN,2004,1.2149800062179565
China,CHN,2005,1.307919979095459
China,CHN,2006,1.3685400485992432
China,CHN,2007,1.3736900091171265
China,CHN,2008,1.4459199905395508
China,CHN,2009,1.6648000478744507
China,CHN,2010,1.7137199640274048
China,CHN,2011,1.7803399562835693
China,CHN,2012,1.9121400117874146
China,CHN,2013,1.9978599548339844
China,CHN,2014,2.022429943084717
China,CHN,2015,2.0570099353790283
China,CHN,2016,2.100330114364624
China,CHN,2017,2.116029977798462
China,CHN,2018,2.14057993888855
Hong Kong,HKG,1998,0.42829999327659607
Hong Kong,HKG,1999,0.4576700031757355
Hong Kong,HKG,2000,0.46492999792099
Hong Kong,HKG,2001,0.5364500284194946
Hong Kong,HKG,2002,0.5814700126647949
Hong Kong,HKG,2003,0.6802700161933899
Hong Kong,HKG,2004,0.7217599749565125
Hong Kong,HKG,2005,0.7734299898147583
Hong Kong,HKG,2006,0.7946799993515015
Hong Kong,HKG,2007,0.7516099810600281
Hong Kong,HKG,2008,0.7199599742889404
Hong Kong,HKG,2009,0.773419976234436
Hong Kong,HKG,2010,0.749459981918335
Hong Kong,HKG,2011,0.7208600044250488
Hong Kong,HKG,2012,0.7273300290107727
Hong Kong,HKG,2013,0.7301700115203857
Hong Kong,HKG,2014,0.7401400208473206
Hong Kong,HKG,2015,0.7618299722671509
Hong Kong,HKG,2016,0.7915499806404114
Hong Kong,HKG,2017,0.8001999855041504
Hong Kong,HKG,2018,0.8633999824523926
India,IND,1996,0.6390500068664551
India,IND,1997,0.6866899728775024
India,IND,1998,0.703790009021759
India,IND,1999,0.7241299748420715
India,IND,2000,0.7569900155067444
India,IND,2001,0.7359099984169006
India,IND,2002,0.7256699800491333
India,IND,2003,0.719290018081665
India,IND,2004,0.7569000124931335
India,IND,2005,0.8241099715232849
India,IND,2006,0.8047299981117249
India,IND,2007,0.8050699830055237
India,IND,2008,0.8587599992752075
India,IND,2009,0.8331400156021118
India,IND,2010,0.7884899973869324
India,IND,2011,0.755020022392273
India,IND,2012,0.7439900040626526
India,IND,2013,0.7064200043678284
India,IND,2014,0.7015900015830994
India,IND,2015,0.6930999755859375
India,IND,2016,0.6698399782180786
India,IND,2017,0.6657099723815918
India,IND,2018,0.6528199911117554
Indonesia,IDN,2000,0.06768999993801117
Indonesia,IDN,2001,0.04755999892950058
Indonesia,IDN,2009,0.0833199992775917
Indonesia,IDN,2013,0.08470000326633453
Indonesia,IDN,2016,0.24535000324249268
Indonesia,IDN,2017,0.23804999887943268
Indonesia,IDN,2018,0.2263299971818924
Japan,JPN,1996,2.6920599937438965
Japan,JPN,1997,2.7696800231933594
Japan,JPN,1998,2.8736300468444824
Japan,JPN,1999,2.8928298950195312
Japan,JPN,2000,2.9056899547576904
Japan,JPN,2001,2.971829891204834
Japan,JPN,2002,3.0139400959014893
Japan,JPN,2003,3.042949914932251
Japan,JPN,2004,3.029520034790039
Japan,JPN,2005,3.180989980697632
Japan,JPN,2006,3.278439998626709
Japan,JPN,2007,3.339600086212158
Japan,JPN,2008,3.3371798992156982
Japan,JPN,2009,3.2314000129699707
Japan,JPN,2010,3.137079954147339
Japan,JPN,2011,3.244770050048828
Japan,JPN,2012,3.2090799808502197
Japan,JPN,2013,3.31496000289917
Japan,JPN,2014,3.4002199172973633
Japan,JPN,2015,3.2816500663757324
Japan,JPN,2016,3.157860040664673
Japan,JPN,2017,3.207979917526245
Japan,JPN,2018,3.2751200199127197
Laos,LAO,2002,0.03709999844431877
Macao,MAC,2001,0.06267999857664108
Macao,MAC,2002,0.07004000246524811
Macao,MAC,2003,0.06283000111579895
Macao,MAC,2004,0.05372999981045723
Macao,MAC,2005,0.08809000253677368
Macao,MAC,2006,0.08337000012397766
Macao,MAC,2007,0.05714999884366989
Macao,MAC,2008,0.10159000009298325
Macao,MAC,2009,0.05435999855399132
Macao,MAC,2010,0.05033000186085701
Macao,MAC,2011,0.044440001249313354
Macao,MAC,2012,0.04806999862194061
Macao,MAC,2013,0.05115000158548355
Macao,MAC,2014,0.08704999834299088
Macao,MAC,2015,0.13553999364376068
Macao,MAC,2016,0.2332800030708313
Macao,MAC,2017,0.1708499938249588
Macao,MAC,2018,0.20151999592781067
Malaysia,MYS,1996,0.21645000576972961
Malaysia,MYS,1998,0.39789000153541565
Malaysia,MYS,2000,0.4689899981021881
Malaysia,MYS,2002,0.6525400280952454
Malaysia,MYS,2004,0.5999000072479248
Malaysia,MYS,2006,0.6110600233078003
Malaysia,MYS,2008,0.7884699702262878
Malaysia,MYS,2009,1.010010004043579
Malaysia,MYS,2010,1.036080002784729
Malaysia,MYS,2011,1.0334199666976929
Malaysia,MYS,2012,1.0926899909973145
Malaysia,MYS,2014,1.2627500295639038
Malaysia,MYS,2015,1.2794500589370728
Malaysia,MYS,2016,1.4151699542999268
Malaysia,MYS,2018,1.0408600568771362
Mongolia,MNG,1997,0.1678600013256073
Mongolia,MNG,1998,0.16642999649047852
Mongolia,MNG,1999,0.15015999972820282
